1185660.4.peg.1000	3263.5	5893.5	-1.04354763928767	0.996737402738525	-0.85270462921581
1185660.4.peg.1001	4092.5	8348.5	-1.07103942840328	0.995984000414031	-1.02853459083221
1185660.4.peg.1002	3066	14757.5	-1.5917338293364	0.999866464599886	-2.26701873967615
1185660.4.peg.1003	2725	4236.5	-0.675675405250771	0.979802814219298	-0.636616639174243
1185660.4.peg.1004	4643	16867.5	-1.8354206333397	0.999669616645301	-1.86111697581967
1185660.4.peg.1005	3473.5	8485.5	-1.21512170103004	0.997310114459182	-1.28860957437183
1185660.4.peg.1006	3089	5438	-0.912211532419037	0.986928994851235	-0.815936280397122
1185660.4.peg.1007	6940	11644.5	-0.704627642581474	0.979759968031408	-0.746641125474847
1185660.4.peg.1008	14957	99447	-2.09786763365081	1	-2.73310701447978
1185660.4.peg.1009	5636	14829.5	-1.51126143098222	0.999781609753159	-1.39572643911186
1185660.4.peg.1010	4222.5	12436.5	-1.65573658722991	0.999999999963261	-1.55841119727242
1185660.4.peg.1011	4674.5	9386	-1.13727992496478	0.992820943275272	-1.00569840255262
1185660.4.peg.1012	3443.5	7308.5	-1.67737999807779	0.999999999999988	-1.08569966011643
1185660.4.peg.1013	2747	7765.5	-2.72362094833652	1	-1.49922190850623
1185660.4.peg.1014	3302	6202	-0.90526391856329	0.986338028434902	-0.909393405699364
1185660.4.peg.1015	1406.5	2314.5	-0.665858441919449	0.979533669020744	-0.718591009977191
1185660.4.peg.1016	1372	3668	-1.36919098024161	0.997860378360075	-1.41871315742224
1185660.4.peg.1017	3142.5	5680.5	-0.962266336962049	0.990979500845329	-0.854105177297705
1185660.4.peg.1018	2120	14209.5	-2.38295211131448	1	-2.74471962041416
1185660.4.peg.1019	1402	2912	-1.19113679650126	0.995565045044843	-1.05452400618807
1185660.4.peg.1021	2260.5	5241.5	-1.52698331178615	0.999105374188786	-1.21333782022826
1185660.4.peg.1022	3389	5968.5	-0.854973450192344	0.986626991865684	-0.816508762930899
1185660.4.peg.1023	2281.5	3569	-0.597452086580742	0.972700392286974	-0.64553724760337
1185660.4.peg.1024	2128.5	3065	-0.547657821028116	0.969993653521386	-0.526049983796436
1185660.4.peg.1025	1824.5	3504	-0.900633109304766	0.985747059477664	-0.941501624016692
1185660.4.peg.1047	31	54	-0.4880216487116	0.963146944865398	-0.800691191776593
1185660.4.peg.1051	221.5	440	-0.761839921442108	0.982537179241024	-0.990196824969641
1185660.4.peg.1077	564.5	778	-0.651695040038541	0.978000313022675	-0.462796574213191
1185660.4.peg.1107	27.5	45.5	-0.453081716128863	0.958345466813865	-0.726434926674037
1185660.4.peg.1130	66	159	-0.909218446578856	0.986721346366527	-1.2684888359259
1185660.4.peg.1139	2769.5	14244.5	-2.55121727044173	0.999999999999999	-2.36270753851259
1185660.4.peg.1153	10.5	61	-1.0349058176724	0.996247963384646	-2.53841991478413
1185660.4.peg.1154	14.5	59	-0.865808129993187	0.984459572791002	-2.02466205423427
1185660.4.peg.1155	13	33.5	-0.49722733031709	0.964813216280344	-1.36564947231668
1185660.4.peg.1169	8.5	132	-2.04215868147302	1	-3.95693127810811
